"circuito" "MESA"
"319" "010A" 317
"320" "010A" 318
"321" "010A" 319
"322" "010A" 320
"323" "010A" 321
"324" "010A" 322
"325" "010A" 323
"326" "010A" 324
"327" "010A" 325
"328" "010A" 326
"329" "010A" 327
"330" "010A" 328
"331" "010A" 329
"332" "010A" 330
"333" "010A" 331
"334" "010A" 332
"335" "010A" 333
"336" "010A" 334
"337" "010A" 335
"338" "010A" 336
"339" "010A" 337
"340" "010A" 338
"341" "010A" 339
"342" "010A" 340
"343" "010A" 341
"344" "010A" 342
"345" "010A" 343
"346" "010A" 344
"347" "010A" 345
"348" "010A" 346
"349" "010A" 347
"350" "010A" 348
"351" "010A" 349
"352" "010A" 350
"353" "010A" 351
"354" "010A" 352
"355" "010A" 353
"356" "010A" 354
"357" "010A" 355
"358" "010A" 356
"359" "010A" 357
"360" "010A" 358
"361" "010A" 359
"362" "010A" 360
"363" "010A" 361
"364" "0011" 362
"365" "0011" 363
"366" "0011" 364
"367" "0011" 365
"368" "0011" 366
"369" "0011" 367
"370" "011A" 368
"371" "011A" 369
"372" "011A" 370
"373" "011A" 371
"374" "011A" 372
"375" "011A" 373
"376" "011A" 374
"377" "011A" 375
"378" "011A" 376
"379" "011A" 377
"380" "011A" 378
"381" "011A" 379
"382" "011A" 380
"383" "011A" 381
"384" "011A" 382
"385" "011A" 383
"386" "011A" 384
"387" "011A" 385
"388" "011A" 386
"389" "011A" 387
"390" "011A" 388
"391" "011A" 389
"392" "011A" 390
"393" "011A" 391
"394" "011A" 392
"395" "0012" 393
"396" "0012" 394
"397" "0012" 395
"398" "0012" 396
"399" "0012" 397
"400" "0012" 398
"401" "0012" 399
"402" "0012" 400
"403" "0012" 401
"404" "0012" 402
"405" "0012" 403
"406" "0012" 404
"407" "0012" 405
"408" "0012" 406
"409" "0012" 407
"410" "0012" 408
"411" "0012" 409
"412" "0012" 410
"413" "0012" 411
"414" "0012" 412
"415" "0012" 413
"416" "0012" 414
"417" "0012" 415
"418" "0012" 416
"419" "0012" 417
"420" "0012" 418
"421" "0012" 419
"422" "0012" 420
"423" "0012" 421
"424" "0012" 422
"425" "0012" 423
"426" "0012" 424
"427" "0012" 425
"428" "0012" 426
"429" "012A" 427
"430" "012A" 428
"431" "012A" 429
"432" "012A" 430
"433" "012A" 431
"434" "012A" 432
"435" "012A" 433
"436" "012A" 434
"437" "012A" 435
"438" "012A" 436
"439" "012A" 437
"440" "012A" 438
"441" "012A" 439
"442" "012A" 440
"443" "012A" 441
"444" "012A" 442
"445" "012A" 443
"446" "012A" 444
"447" "012A" 445
